t [s],Step_Time(s),I [A],V [V]
0,120.0068238,0,2.593736887
5.005483,5.005237761,-1.099415302,2.890427828
10.013867,10.01362257,-1.099595666,2.936593533
15.021007,15.02076203,-1.099595666,2.973526001
20.025019,20.02477369,-1.099595666,3.003995419
25.034581,25.03433609,-1.099595666,3.031386852
30.040744,30.04049852,-1.099415302,3.055700779
35.042995,35.04275015,-1.099415302,3.077244759
40.047472,40.04722762,-1.099415302,3.097249746
45.050452,45.05020682,-1.099595666,3.116023779
50.059696,50.05945163,-1.099595666,3.132335663
55.065098,55.06485299,-1.099595666,3.14803195
60.072213,60.0719682,-1.099595666,3.16280508
65.076498,65.07625357,-1.099595666,3.176347017
70.080745,70.08050045,-1.099415302,3.188965559
75.085995,75.08574976,-1.099595666,3.201276302
80.092428,80.0921832,-1.099595666,3.212663889
85.10155,85.10130559,-1.099415302,3.223435879
90.10275,90.10250474,-1.099595666,3.233592272
95.109999,95.10975391,-1.099234819,3.243440866
100.11837,100.1181252,-1.099776149,3.252981901
105.123493,105.1232487,-1.099595666,3.261907101
110.123775,110.1235301,-1.099595666,3.27052474
115.123994,115.1237491,-1.099595666,3.278834581
120.130196,120.1299508,-1.099595666,3.287144423
125.138559,125.1383141,-1.099415302,3.294530869
130.147718,130.1474738,-1.099415302,3.302225113
135.153996,135.1537513,-1.099595666,3.308688402
140.156278,140.1560334,-1.099415302,3.316074848
145.164499,145.1642542,-1.099595666,3.322845697
150.168777,150.1685322,-1.099415302,3.329308987
155.176126,155.1758811,-1.099415302,3.335772038
160.179327,160.1790824,-1.099595666,3.341927528
165.180495,165.1802496,-1.099415302,3.347467422
170.183744,170.1834991,-1.099415302,3.353622913
175.191021,175.1907756,-1.099595666,3.359162807
180.191248,180.1910027,-1.099415302,3.364702702
185.200521,185.200276,-1.099595666,3.369934797
190.203514,190.2032687,-1.099595666,3.375166893
195.207996,195.2077512,-1.099595666,3.380398989
200.217212,200.2169671,-1.099595666,3.385323286
205.223508,205.2232635,-1.099415302,3.389939785
210.228857,210.2286125,-1.099595666,3.394248486
215.232945,215.2327004,-1.099595666,3.398865223
220.239218,220.2389725,-1.099595666,3.403481722
225.245542,225.245297,-1.099595666,3.407790422
230.253741,230.2534975,-1.099595666,3.411791563
235.263091,235.2628466,-1.099415302,3.415484667
240.268249,240.2680035,-1.099776149,3.419793606
245.270491,245.2702459,-1.099595666,3.422871351
250.277688,250.2774427,-1.099595666,3.426256657
255.283015,255.2827702,-1.099776149,3.429026604
260.288245,260.2879995,-1.099415302,3.431488752
265.291494,265.2912489,-1.099415302,3.433950901
270.300637,270.3003921,-1.099595666,3.435797691
275.308943,275.3086984,-1.099415302,3.437336445
280.317276,280.3170308,-1.099415302,3.438875437
285.322496,285.3222505,-1.099595666,3.440106392
290.326517,290.3262721,-1.099595666,3.441337585
295.333001,295.3327564,-1.099595666,3.441952944
300.334278,300.3340329,-1.099415302,3.443184137
305.342498,305.342253,-1.099595666,3.443799734
310.346764,310.3465187,-1.099595666,3.444415331
315.353016,315.3527708,-1.099415302,3.445030689
320.361244,320.3609986,-1.099415302,3.445646286
325.369591,325.3693464,-1.099415302,3.446261883
330.373779,330.3735348,-1.099415302,3.44687748
335.375073,335.3748286,-1.099595666,3.447492838
340.375287,340.3750431,-1.099415302,3.448108435
345.376565,345.37632,-1.099595666,3.448724031
350.382757,350.3825124,-1.099595666,3.449339628
355.387993,355.3877479,-1.099595666,3.449954987
360.394233,360.3939877,-1.099595666,3.450570583
365.397607,365.3973623,-1.099595666,3.45118618
370.405889,370.4056435,-1.099415302,3.451493979
375.411987,375.4117424,-1.099415302,3.452109575
380.419209,380.4189635,-1.099415302,3.452724934
385.423511,385.4232662,-1.099415302,3.45334053
390.429783,390.4295383,-1.099415302,3.453956127
395.437029,395.436784,-1.099415302,3.454263926
400.438241,400.4379967,-1.099415302,3.455187082
405.443487,405.4432421,-1.099595666,3.455802679
410.448735,410.4484903,-1.099415302,3.456110477
415.45399,415.4537454,-1.099595666,3.456726074
420.454196,420.4539509,-1.099415302,3.457649469
425.463499,425.4632543,-1.099595666,3.458264828
430.469735,430.4694898,-1.099415302,3.458572626
435.472996,435.4727512,-1.099595666,3.459188223
440.478373,440.4781287,-1.099595666,3.460111618
445.480457,445.4802117,-1.099595666,3.460726976
450.489796,450.4895505,-1.099415302,3.461342573
455.490998,455.4907527,-1.099415302,3.46195817
460.498228,460.4979838,-1.099595666,3.462573767
465.507716,465.5074719,-1.099595666,3.463189125
470.514782,470.5145374,-1.099415302,3.463804722
475.521982,475.5217373,-1.099595666,3.464728117
480.529205,480.5289599,-1.099595666,3.465651512
485.532466,485.5322213,-1.099595666,3.465959072
490.538769,490.5385235,-1.099595666,3.46626687
495.547983,495.5477383,-1.099595666,3.467805862
500.549264,500.5490194,-1.099595666,3.468421221
505.55544,505.5551953,-1.099595666,3.469036818
510.562742,510.5624972,-1.099415302,3.469652414
515.569005,515.5687601,-1.099595666,3.470575809
520.576007,520.5757626,-1.099415302,3.471191168
525.582487,525.5822418,-1.099776149,3.472422361
530.582823,530.5825783,-1.099415302,3.47273016
535.585023,535.5847779,-1.099595666,3.473653316
540.594219,540.5939742,-1.099415302,3.474268913
545.59848,545.598235,-1.099415302,3.47488451
550.603732,550.6034873,-1.099595666,3.475807905
555.608082,555.607837,-1.099595666,3.476731062
560.610292,560.6100474,-1.099415302,3.477654457
565.615549,565.6153041,-1.099415302,3.478270054
570.623732,570.6234872,-1.099595666,3.479193211
575.624991,575.6247456,-1.099415302,3.479808807
580.627285,580.6270399,-1.099595666,3.480732203
585.632497,585.6322527,-1.099415302,3.481040001
590.637685,590.6374396,-1.099415302,3.481963158
595.643258,595.6430131,-1.099595666,3.482886553
600.650277,600.6500324,-1.099595666,3.48350215
605.652518,605.6522729,-1.099415302,3.484425306
610.656691,610.6564466,-1.099595666,3.485040903
615.663001,615.6627561,-1.099415302,3.4856565
620.667278,620.667033,-1.099595666,3.486887455
625.676538,625.6762936,-1.099595666,3.487503052
630.680767,630.680522,-1.099415302,3.488118649
635.687298,635.6870536,-1.099415302,3.488734245
640.68828,640.6880353,-1.099595666,3.489657402
645.692529,645.6922837,-1.099595666,3.490272999
650.700716,650.700471,-1.099776149,3.491196394
655.706008,655.7057634,-1.099595666,3.491811991
660.713228,660.7129833,-1.099595666,3.492427349
665.719512,665.7192667,-1.099595666,3.493042946
670.726693,670.7264481,-1.099595666,3.493966341
675.73216,675.7319157,-1.099595666,3.494274139
680.738243,680.737998,-1.099595666,3.495505095
685.741489,685.7412448,-1.099595666,3.495812893
690.748691,690.7484462,-1.099415302,3.49642849
695.75098,695.7507352,-1.099595666,3.497351885
700.754223,700.7539781,-1.099595666,3.497967243
705.76048,705.7602348,-1.099595666,3.498275042
710.766684,710.7664392,-1.099415302,3.498890638
715.771014,715.7707685,-1.099415302,3.499506235
720.774267,720.7740218,-1.099595666,3.500429392
725.778523,725.7782783,-1.099415302,3.50073719
730.786848,730.7866038,-1.099415302,3.501352787
735.794992,735.7947468,-1.099595666,3.502276182
740.802241,740.801996,-1.099595666,3.502891541
745.806446,745.8062013,-1.099415302,3.502891541
750.814907,750.8146627,-1.099595666,3.503814936
755.819044,755.8187995,-1.099415302,3.504430532
760.821206,760.8209614,-1.099595666,3.505046129
765.825271,765.8250258,-1.099595666,3.505353928
770.831782,770.831537,-1.099415302,3.505969286
775.83898,775.8387354,-1.099595666,3.506584883
780.846182,780.8459372,-1.099415302,3.506892681
785.852455,785.8522098,-1.099415302,3.507816076
790.860715,790.8604698,-1.099595666,3.508431435
795.862943,795.8626984,-1.099415302,3.508739233
800.868284,800.8680389,-1.099595666,3.50935483
805.874435,805.8741898,-1.099415302,3.509970427
810.878754,810.8785087,-1.099595666,3.510586023
815.883989,815.8837437,-1.099415302,3.510893583
820.886231,820.8859857,-1.099415302,3.51150918
825.893525,825.8932807,-1.099595666,3.512432575
830.895693,830.8954477,-1.099415302,3.512432575
835.903982,835.903737,-1.099415302,3.513048172
840.908221,840.9079762,-1.099415302,3.51366353
845.910598,845.9103533,-1.099595666,3.514586926
850.914729,850.9144847,-1.099415302,3.514586926
855.914996,855.9147515,-1.099415302,3.515202522
860.923191,860.9229461,-1.099595666,3.515510321
865.929555,865.9293102,-1.099415302,3.516125679
870.937844,870.9375992,-1.099595666,3.516741276
875.942972,875.9427269,-1.099595666,3.517356873
880.945399,880.9451548,-1.099415302,3.517356873
885.949432,885.9491865,-1.099776149,3.517972469
890.956725,890.9564799,-1.099776149,3.518588066
895.960987,895.9607422,-1.099234819,3.518895626
900.96923,900.9689846,-1.099595666,3.519511223
905.973479,905.9732341,-1.099595666,3.52012682
910.981732,910.9814873,-1.099595666,3.520434618
915.986949,915.9867043,-1.099595666,3.520742416
920.992262,920.9920171,-1.099415302,3.521357775
925.997474,925.9972294,-1.099415302,3.521665573
931.002718,931.002473,-1.099595666,3.521973372
936.009929,936.0096844,-1.099415302,3.522588968
941.0183,941.018055,-1.099595666,3.523204565
946.027527,946.0272825,-1.099415302,3.523204565
951.030755,951.0305096,-1.099415302,3.523512363
956.037975,956.0377307,-1.099595666,3.524127722
961.046245,961.0460004,-1.099595666,3.524743319
966.053478,966.0532338,-1.099415302,3.524743319
971.060747,971.0605018,-1.099595666,3.525051117
976.068923,976.0686783,-1.099595666,3.525358915
981.07452,981.0742753,-1.099415302,3.525666714
986.081595,986.0813508,-1.099595666,3.526590109
991.088746,991.0885011,-1.099415302,3.526590109
996.092951,996.092706,-1.099415302,3.526897669
1001.100226,1001.099981,-1.099234819,3.527205467
1006.107451,1006.107206,-1.099595666,3.527513266
1011.114723,1011.114478,-1.099595666,3.528128862
1016.12401,1016.123765,-1.099595666,3.528128862
1021.12923,1021.128985,-1.099595666,3.528436661
1026.129528,1026.129284,-1.099595666,3.528744459
1031.129837,1031.129592,-1.099234819,3.529359818
1036.135982,1036.135737,-1.099595666,3.529667616
1041.141337,1041.141092,-1.099595666,3.529667616
1046.148505,1046.14826,-1.099415302,3.529667616
1051.153675,1051.15343,-1.099595666,3.530283213
1056.159939,1056.159694,-1.099595666,3.530591011
1061.169221,1061.168976,-1.099595666,3.530591011
1066.175473,1066.175227,-1.099415302,3.531206608
1071.181735,1071.18149,-1.099595666,3.531206608
1076.187985,1076.18774,-1.099234819,3.531206608
1081.194403,1081.194157,-1.099595666,3.531822205
1086.197472,1086.197227,-1.099595666,3.532129765
1091.205682,1091.205437,-1.099595666,3.532437563
1096.212012,1096.211767,-1.099595666,3.532437563
1101.219358,1101.219114,-1.099595666,3.532437563
1106.22647,1106.226225,-1.099595666,3.532745361
1111.232722,1111.232477,-1.099595666,3.53305316
1116.235092,1116.234848,-1.099415302,3.53305316
1121.241212,1121.240967,-1.099415302,3.533360958
1126.241494,1126.241249,-1.099595666,3.533668756
1131.246745,1131.2465,-1.099595666,3.534284353
1136.253995,1136.25375,-1.099415302,3.533976555
1141.25818,1141.257936,-1.099595666,3.534284353
1146.266468,1146.266223,-1.099595666,3.534592152
1151.274914,1151.274669,-1.099234819,3.534284353
1156.278769,1156.278524,-1.099415302,3.534899712
1161.286212,1161.285967,-1.099415302,3.534899712
1166.292466,1166.292222,-1.099595666,3.53520751
1171.297724,1171.297479,-1.099595666,3.53520751
1176.306929,1176.306684,-1.099595666,3.535515308
1181.308218,1181.307973,-1.099776149,3.535823107
1186.315468,1186.315223,-1.099415302,3.535515308
1191.319717,1191.319472,-1.099595666,3.535823107
1196.325169,1196.324924,-1.099415302,3.536130905
1201.325229,1201.324984,-1.099415302,3.536130905
1206.32848,1206.328235,-1.099595666,3.536746502
1211.333823,1211.333578,-1.099415302,3.536438704
1216.337942,1216.337697,-1.099595666,3.536746502
1221.34222,1221.341976,-1.099595666,3.5370543
1226.342572,1226.342328,-1.099595666,3.5370543
1231.34674,1231.346495,-1.099415302,3.5370543
1236.351257,1236.351013,-1.099415302,3.5370543
1241.353227,1241.352983,-1.099415302,3.53736186
1246.358465,1246.35822,-1.099595666,3.537669659
1251.36097,1251.360725,-1.099595666,3.537669659
1256.368967,1256.368722,-1.099595666,3.537977457
1261.376285,1261.37604,-1.099595666,3.537977457
1266.384547,1266.384302,-1.099595666,3.538285255
1271.39367,1271.393425,-1.099595666,3.538285255
1276.400006,1276.399761,-1.099595666,3.538593054
1281.403323,1281.403078,-1.099415302,3.538593054
